Stage	Description	Program Type	Sound Name 1	Sound Name 2	Number of Presounds	Number of Sounds	Inter-sound Interval Minimum (seconds)	Inter-sound Interval Maximum (seconds)	Number of Shocks	Shock Duration (ms)	Shock Delivery Type	Shock Onset Minimum (ms)	Shock Onset Maximum (ms)	Number of VNS Stims	Type of VNS	VNS Delay (ms)	VNS Duration	Record Video	Extra Time	Stims Per Sound	VNS Interval
NO-AFC	NO SHOCK - 4 DAYS	Rimenez	war zone (30 seconds)		0	8	90	180	0	2000	Front	27950	28050	0	Off	0	30000	Off	30000	1	0
PAC Day 1	8CS-US 100% PAIRED	Rimenez	war zone (30 seconds)		2	8	90	180	8	2000	Front	27950	28050	0	Off	0	30000	Off	30000	1	0
PAC Day 2	8CS-US 50% PAIRED	Rimenez	war zone (30 seconds)		0	8	90	180	4	2000	Random	27950	28050	0	Off	0	30000	Off	30000	1	0
PAC Day 3	LONG TRACE CONDITIONING	Rimenez	war zone (30 seconds)		0	8	90	180	8	2000	Front	33000	50000	0	Off	0	30000	Off	30000	1	0
PAC Day 4	SHORT TRACE CONDITIONING	Rimenez	war zone (30 seconds)		0	8	90	180	8	2000	Front	33000	42000	0	Off	0	30000	Off	30000	1	0
																					
AFC REINSTATEMENT	1US - NO SOUND	Rimenez	war zone (30 seconds)		0	1	180	181	1	1000	Front	27950	28050	0	Off	0	30000	Off	60000	1	0
																					
AFC SD	8CS-US 100% PAIRED	Rimenez	war zone (30 seconds)		2	8	60	120	8	1000	Front	27950	28050	0	Off	0	30000	Off	30000	1	0
EXTINCTION SD	4CS	Rimenez	war zone (30 seconds)		0	4	60	120	0	1000	Front	27950	28050	0	Off	0	30000	Off	30000	1	0
REINSTATEMENT SD	1US - NO SOUND	Rimenez	war zone (30 seconds)		0	1	180	181	1	1000	Front	27950	28050	0	Off	0	30000	Off	60000	1	0
RETENTION SD	5CS	Rimenez	war zone (30 seconds)		0	5	60	120	0	1000	Front	27950	28050	0	Off	0	30000	Off	30000	1	0
																					
																				1	
